raw_value.created_at,raw_value.id_str,raw_value.full_text,raw_value.in_reply_to_status_id_str,raw_value.quoted_status_id_str,raw_value.user_id_str,raw_value.reply_count,raw_value.retweet_count,raw_value.favorite_count,raw_value.quote_count,Tags,Tags_confidence
2021-03-15 07:43:04,1371366321309556736,这家中国公司吃到了元宇宙红利语音社交有多少潜力尚未挖掘,,,209875859,0.0,0.0,0.0,0.0,元宇宙、语音社交,
2021-03-22 07:05:05,1373893479160549376,加州大学伯克利分校区块链加速器精挑细选一览 21 个入围项目参选的 200 多个项目中有 21 个入选涵盖 DeFi预言机基础设施元宇宙可持续性和新型加密投资工具等领域,,,952756646329049200,0.0,2.0,2.0,0.0,区块链加速器、DeFi、预言机、基础设施、元宇宙、可持续性、加密投资工具,
2021-03-31 06:49:53,1377151142170222592,谁说这是游戏这是价值 400 亿美元的元宇宙即便 Metaverse 仍然带有浓重的科幻色彩但在最近已有一众公司吃上了元宇宙的概念红利搭上了高估值快车约会软件 Soul 甚至说自己是给 Gen Z 的,,,767144354,0.0,0.0,1.0,0.0,元宇宙、Soul、高估值,
2021-04-13 18:27:09,1382037657291735040,Epic新一轮融资获10亿美元索尼投了2亿美元Epic称将用这笔钱来发展元宇宙Metaverse最近有不少公司通过这个概念融到了资而Epic Games当前的目标之一是制作逼真的动画数字人类,,,767144354,0.0,2.0,0.0,0.0,索尼、融资、元宇宙、动画数字人类,
2021-04-20 08:28:11,1384423637067911168,后 NFT 时代NFT 资产和社交代币将尽归元宇宙最能代表这个时代的收藏品或许不是大家疯抢的 AJ而是 NFT,,,952756646329049200,0.0,0.0,0.0,0.0,NFT、社交代币,
2021-04-20 23:55:21,1384656967998656512,字节跳动入局元宇宙赛道投资中国版Roblox字节跳动已投资代码乾坤投资金额接近1亿元一级市场机构大多觉得元宇宙差不多到时间了2021年这股势头有望迎来爆发,,,767144354,0.0,0.0,3.0,1.0,元宇宙、代码乾坤、投资、Roblox,
2021-04-25 09:44:11,1386254705878310912,一键投资整个元宇宙 Index Coop 推出的 Metaverse Index 了解一下对于想投资元宇宙的人来说有了更简便和低风险的选择,,,952756646329049200,0.0,0.0,1.0,0.0,MetaverseIndex、元宇宙、投资,
2021-04-29 10:16:17,1387712331891757056,可编程动态 NFT了解链上元宇宙 NASH MetaverseNASH Metaverse 结合元宇宙和 NFT 构建链上虚拟世界为 NFT 注入了可编程性和成长性,,,952756646329049200,0.0,1.0,4.0,0.0,元宇宙、NFT、可编程动态NFT、链上虚拟世界,
2021-05-02 03:11:35,1388692619727884288,腾讯Facebook掰手腕谁将在元宇宙战场领先一步关于元宇宙Roblox CEO Baszucki 下了一个定义其至少要满足 8 个关键特征身份朋友沉浸感低延迟多元化随地经济系统和文明其中,,,767144354,0.0,1.0,1.0,0.0,Facebook、元宇宙、Roblox、Baszucki,
2021-05-07 08:11:11,1390579956292411392,NFT 元宇宙 NASH Metaverse 在币安智能链众筹超 100 万美元链闻消息NFT 元宇宙 NASH Metaverse 完成币安智能链BSC链上舰船众筹玩家共铸造 3600 艘舰船 NFT众筹超,,,952756646329049200,0.0,0.0,1.0,0.0,币安智能链、众筹、NFT、元宇宙,
